file,workflow_name,triggers,jobs,secrets,num_jobs,num_secrets
.appveyor.yml,appveyorymldoc1,[],[],[],0,0
.bgo.yml,bgoymldoc1,[],[],[],0,0
.ci.yml,ciymldoc1,[],[],[],0,0
.circleci_config.yml,circleci_configymldoc1,[],['build_and_test'],[],1,0
.cirrus.yml,cirrusymldoc1,[],[],['env'],0,1
.eslintrc.yml,eslintrcymldoc1,[],[],['env'],0,1
.github_gitflow_linters.yml,Linters,[],"['rubocop', 'stylelint', 'nodechecker']",['env'],3,1
.github_workflows_android_32_release.yml,Android 32bit Release,[],['build'],['env'],1,1
.github_workflows_android_64_release.yml,Android 64bit Release,[],['build'],['env'],1,1
.github_workflows_auto_comment.yml,Issues Auto Comment,[],['run'],[],1,0
.github_workflows_avs_rewards_claim.yml,AVS Rewards Claim,[],['claim-rewards'],[],1,0
.github_workflows_azure.yml,Create Azure resources,[],['build-and-deploy'],[],1,0
.github_workflows_benchmarks.yml,Benchmarks,[],['Benchmark'],[],1,0
.github_workflows_bridge.yml,Build flutterrustbridge,[],['generate_bridge'],['env'],1,1
.github_workflows_build-docker.yml,Reusable Docker build and push workflow,[],['docker-build'],[],1,0
.github_workflows_build.yml,Build,[],"['cleanup-runs', 'build']",[],2,0
.github_workflows_build_stable.yml,Stable build,[],"['v12', 'v13', 'v14', 'update_versions', 'release_helm']",[],5,0
.github_workflows_cd.yml,Fly Deploy,[],['deploy'],[],1,0
.github_workflows_chromatic.yml,Chromatic,[],['chromatic'],[],1,0
.github_workflows_ci.yml,ci,[],['build'],[],1,0
.github_workflows_comment_coverage.yml,Comment coverage,[],['comment'],[],1,0
.github_workflows_contributors.yml,Contributors,[],['contributors'],[],1,0
.github_workflows_crowdin.yml,Crowdin Action,[],['synchronize-with-crowdin'],[],1,0
.github_workflows_deploy.yml,Deploy Website on push,[],"['deploy-playground-ftp', 'deploy-docs-ftp', 'deploy-antd-ftp', 'deploy-ele-ftp', 'deploy-naive-ftp', 'rerun-on-failure']",[],6,0
.github_workflows_enable-auto-pr.yml,Enable auto pr,[],['hashtags'],[],1,0
.github_workflows_githubci.yml,Arduino Library CI,[],['build'],[],1,0
.github_workflows_google.yml,Build and Deploy to GKE,[],['setup-build-publish-deploy'],['env'],1,1
.github_workflows_greetings.yml,Greetings,[],['greeting'],[],1,0
.github_workflows_handle-release.yml,Handle Release,[],['handle-release'],[],1,0
.github_workflows_linux-ci.yml,linuxci,[],['build'],[],1,0
.github_workflows_linux_release.yml,Linux Release,[],['build'],['env'],1,1
.github_workflows_nightly_build.yml,Nightly Build,[],"['create-nightly-tag', 'frontend-tests', 'backend-unit-tests', 'release-nightly-build']",['env'],4,1
